algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
hypergirgs,gluten,0,1990,21544,1000,1,3,0.9,12.4371,128.229,1.47998,20.925,105.787,4647926,431.482
hypergirgs,gluten,0,2000,46415,1000,1,3,0.9,13.9721,221.98,1.32635,8.53843,212.078,10968460,472.626
hypergirgs,gluten,0,2010,100000,1000,1,3,0.9,15.5072,532.596,1.48725,20.5278,510.514,25945825,518.917
hypergirgs,gluten,0,2020,215443,1000,1,3,0.9,17.0423,1206.72,7.70224,21.6014,1177.1,59523288,552.566
hypergirgs,gluten,0,2030,464158,1000,1,3,0.9,18.5773,2861.14,6.96286,56.0959,2798.05,137207738,591.211
hypergirgs,gluten,0,2040,1000000,1000,1,3,0.9,20.1124,6645.7,19.1413,80.2004,6541.65,314179112,628.358
hypergirgs,gluten,0,2050,2154434,1000,1,3,0.9,21.6474,15437.2,42.7372,109.74,15269.5,706743398,656.083
hypergirgs,gluten,0,2060,4641588,1000,1,3,0.9,23.1825,36202.1,140.298,230.678,35805.7,1586363670,683.544
hypergirgs,gluten,0,2070,10000000,1000,1,3,0.9,24.7176,83002,266.296,435.832,82251.1,3549342303,709.868
hypergirgs,gluten,0,2080,21544346,1000,1,3,0.9,26.2526,189771,527.614,727.183,188420,7900671845,733.433
hypergirgs,gluten,1,2100,10000,10,0.6,2.2,0,19.2056,6.82506,1.15194,1.72053,3.94274,55146,11.0292
hypergirgs,gluten,1,2110,21544,10,0.6,2.2,0,20.8558,37.1465,1.4143,27.7508,7.68831,102617,9.52627
hypergirgs,gluten,1,2120,46415,10,0.6,2.2,0,22.4896,23.7389,1.97193,15.2471,6.50559,241596,10.4103
hypergirgs,gluten,1,2130,100000,10,0.6,2.2,0,24.112,25.9881,2.01571,14.8082,9.15236,511779,10.2356
hypergirgs,gluten,1,2140,215443,10,0.6,2.2,0,25.7171,42.8074,2.59467,26.0729,14.1295,1088882,10.1083
hypergirgs,gluten,1,2150,464158,10,0.6,2.2,0,27.3193,48.3194,5.00303,18.7516,24.5531,2488054,10.7207
hypergirgs,gluten,1,2160,1000000,10,0.6,2.2,0,28.9054,123.157,10.8351,50.9101,58.7299,4840674,9.68135
hypergirgs,gluten,1,2170,2154434,10,0.6,2.2,0,30.488,256.147,28.3259,96.9526,119.813,9731320,9.03376
hypergirgs,gluten,1,2180,4641588,10,0.6,2.2,0,32.0655,692.701,130.41,263.151,283.294,23109091,9.95741
hypergirgs,gluten,1,2190,10000000,10,0.6,2.2,0,33.6363,1418.13,299.04,513.596,557.075,49987413,9.99748
hypergirgs,gluten,1,2200,21544346,10,0.6,2.2,0,35.2051,2701.9,557.901,986.083,1094.5,104521598,9.70293
